Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
Cotton MS Nero D.VII,COTTONMSNERODVII,12,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,Partial,7
cotton ms tiberius A iii,COTTONMSTIBERIUSAIII,10,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,,6
Cotton MS Nero D I,COTTONMSNERODI,7,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ZSF,Unknown,Highly Restricted,Western MSS,,Partial,6
Add MS 57346,ADDMS  57346 ,10,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,,6
Egerton MS 2781,EGERTONMS   2781 ,9,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,Partial,5
Yates Thompson MS 28,YATESTHOMPSONMS     28 ,4,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ZSF,Unknown,Highly Restricted,Western MSS,,Partial,5
cotton ms Vitellius E XVIII,COTTONMSVITELLIUSEXVIII,4,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ZSF,Unknown,Highly Restricted,Western MSS,,Partial,5
Cotton MS Vespasian F iii ,COTTONMSVESPASIANFIII,5,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ZSF,Unknown,Highly Restricted,Western MSS,,,5
Add MS 43720,ADDMS  43720 ,4,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ZSF,Unknown,Highly Restricted,Western MSS,,,5
Egerton MS 2781,EGERTONMS   2781 ,9,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,Full,5
burney ms 20,BURNEYMS     20 ,4,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ZSF,Unknown,Highly Restricted,Western MSS,,,5
Harley MS 4380,HARLEYMS   4380 ,6,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,,4
add ms 35305,ADDMS  35305 ,7,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,SEL,Unknown,Special Access,Western MSS,,,4
Cotton Ms Julius C iii,COTTONMSJULIUSCIII,6,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,Partial,4
Loan MS 70/8,LOANMS     70 /      8 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ZSF,Unknown,Highly Restricted,Western MSS,,,4
Harley MS 2970,HARLEYMS   2970 ,3,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ZSF,Unknown,Highly Restricted,Western MSS,,,4
Add MS 71002,ADDMS  71002 ,7,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,,4
Arundel MS 60,ARUNDELMS     60 ,7,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,,4
MSS/Additional/78684,MSS/ADDITIONAL/  78684 ,8,No Title Entered,No Author Entered,0,0,-,MSS,Unknown,Standard Access,Western MSS,10W17451P,,4
MSS/Additional/78684,MSS/ADDITIONAL/  78684 ,8,No Title Entered,No Author Entered,0,0,-,MSS,Unknown,Standard Access,Western MSS,10W18302P,,4
Add MS 88918/129/6,ADDMS  88918 /    129 /      6 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ZSF,Unknown,Highly Restricted,Western MSS,,,4
harley ms 1766,HARLEYMS   1766 ,6,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,,4
add ms 17492,ADDMS  17492 ,7,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,,4
Add MS 71231,ADDMS  71231 ,6,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,,4
Egerton MS 2177A,EGERTONMS   2177 A,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ZSF,Unknown,Highly Restricted,Western MSS,,,4
cotton ms claudius D vi,COTTONMSCLAUDIUSDVI,7,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,Partial,4
Cotton MS Nero C x,COTTONMSNEROCX,3,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ZSF,Unknown,Highly Restricted,Western MSS,,Partial,4
Egerton MS 943,EGERTONMS    943 ,6,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,,4
yates thompson ms 31,YATESTHOMPSONMS     31 ,6,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,,4
Add ms 19587,ADDMS  19587 ,6,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,SEL,Unknown,Special Access,Western MSS,,,4
