Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
OMS/Add. 19893,OMS/ADD  19893 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/Or. 504,OMS/OR    504 ,3,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/Harley 5698,OMS/HARLEY   5698 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/Or. 11758,OMS/OR  11758 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/Add 5114,OMS/ADD   5114 ,2,No Title Entered,No Author Entered,0,0,-,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/Or. 12020,OMS/OR  12020 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/Or 492,OMS/OR    492 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/or 6814/2,OMS/OR   6814 /      2 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/Or. 501,OMS/OR    501 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/OR 5519B,OMS/OR   5519 B,2,No Title Entered,No Author Entered,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/Add.22408,OMS/ADD  22408 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/Cotton XXVI 29,OMS/COTTONXXVI     29 ,3,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/or. 11543,OMS/OR  11543 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/Add. 24991,OMS/ADD  24991 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/or. 11274,OMS/OR  11274 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/or. 11346,OMS/OR  11346 ,3,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/or 11756,OMS/OR  11756 ,3,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/or. 11755,OMS/OR  11755 ,3,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,4
OMS/Or.3222,OMS/OR   3222 ,3,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,Partial,4
