Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
Maps Crace.,MAPSCRACE,16,"[Collection of maps of London, Westminster and Southwark].",,1560,0,-,RM1,Probably out of Copyright,Standard Access,Maps,,,10
Maps 188.v.15.,MAPS    188 V     15 ,1,North and South America in its principal divisions /,"Spilsbury, John,",1767,0,,RMX,Probably out of Copyright,Restricted,Maps,,,4
Maps C.6.d.5.,MAPSC      6 D      5 ,1,Astronomicum Caesareum.,"APIANUS, Petrus.",1540,0,,RMX,Probably out of Copyright,Restricted,Maps,,,4
Maps 19.b.12.,MAPS     19 B     12 ,4,"Daguerian Excursions in Jamaica, being a collection of v...",,1850,0,,RM1,Probably out of Copyright,Standard Access,Maps,5W133390P,Partial,4
Maps 19.b.12.,MAPS     19 B     12 ,4,"Daguerian Excursions in Jamaica, being a collection of v...",,1850,0,,RM1,Probably out of Copyright,Standard Access,Maps,,Partial,4
Maps 19.b.12.,MAPS     19 B     12 ,4,"Daguerian Excursions in Jamaica, being a collection of v...",,1850,0,,RM1,Probably out of Copyright,Standard Access,Maps,14R00711S,Partial,4
Maps 188.v.13.,MAPS    188 V     13 ,1,Asia in its principal divisions,"Spilsbury, John,",1767,0,,RMX,Probably out of Copyright,Restricted,Maps,,,4
Maps O.S.D. 151,MAPSOSD    151 ,1,Chipping Barnet,Ordnance Surveyor Drawing,1805,0,,RMX,Probably out of Copyright,Restricted,Maps,,,4
Maps O.S.D.,MAPSOSD,1,"[Surveyors' drawings, on a scale of two, three, and six inc",,1784,1800,151,RMX,Probably out of Copyright,Restricted,Maps,,,4
Maps O.S.D.,MAPSOSD,1,[Surveyors drawings on a scale of six inches to one mile ma,,1793,1800,82,RMX,Probably out of Copyright,Restricted,Maps,12W57057P,,4
Maps O.S.D.,MAPSOSD,1,"[Surveyors' drawings, on a scale of two, three, and six inc",,1784,1784,349,RMX,Probably out of Copyright,Restricted,Maps,,,4
Maps O.S.D.,MAPSOSD,1,"[Surveyors' drawings, on a scale of two, three, and six inc",,1784,1805,131,RMX,Probably out of Copyright,Restricted,Maps,,,4
Maps O.S.D. 131,MAPSOSD    131 ,1,Stratford,Ordnance Surveyor Drawing,1799,0,,RMX,Probably out of Copyright,Restricted,Maps,,,4
Maps K.Top.13.9.,MAPSKTOP     13       9 ,2,"A colored plan of the lands called the King's Forest, or th",,1793,0,,RM1,Probably out of Copyright,Standard Access,Maps,09W07686P,,3
Maps S.T.R.175,MAPSSTR    175 ,2,Roma. Edita per Magrm. Leonardum [i.e. Leonardo Bufalino],,1551,0,,RM1,Probably out of Copyright,Standard Access,Maps,6W169299P,Partial,3
Maps * 26905.(27.),MAPS*  26905 (     27 ),2,Germaniae atque in ea locorum principaliorum Mappa criti...,,1750,0,,RM1,Probably out of Copyright,Standard Access,Maps,,,3
Maps 1180.(17.),MAPS   1180 (     17 ),2,A Physical and Geological Map of England & Wales. By G.B. G,,1865,0,-,RM1,Probably out of Copyright,Standard Access,Maps,12W59271P,Unknown,3
Maps 77750.(1.),MAPS  77750 (      1 ),2,Plano del Estado de Michoacan. (Guerre du Mexique.--The_...,,1866,0,,RM1,Probably out of Copyright,Standard Access,Maps,6W174004P,,3
Maps 9 TAB.36.(6.),MAPS      9 TAB     36 (      6 ),2,[A maritime Atlas of the world. Signed:] Jouannes Olius fec,,1638,0,-,RM1,Probably out of Copyright,Standard Access,Maps,11W35626P,,3
Maps 27315.(39.),MAPS  27315 (     39 ),3,Militaerisch topographischer Plan von der Ko_nigl. Haupt...,,1822,0,,RM1,Probably out of Copyright,Standard Access,Maps,,,3
Maps S.T.R.175,MAPSSTR    175 ,2,Roma. Edita per Magrm. Leonardum [i.e. Leonardo Bufalino],,1551,0,,RM1,Probably out of Copyright,Standard Access,Maps,4W128884P,Partial,3
Maps 24215.(33.),MAPS  24215 (     33 ),2,"Maclure, Macdonald and Macgregor's Map of Sicily. Reduced f",,1860,0,-,RM1,Probably out of Copyright,Standard Access,Maps,11W35487P,Partial,3
Maps 27315.(39.),MAPS  27315 (     39 ),3,Militaerisch topographischer Plan von der Ko_nigl. Haupt...,,1822,0,,RM1,Probably out of Copyright,Standard Access,Maps,6W169831P,,3
Maps 27315.(24.),MAPS  27315 (     24 ),3,"Situationsplan der ko_nigl. Hauptstadt Prag, mit Bezeich...",,1868,0,,RM1,Probably out of Copyright,Standard Access,Maps,,,3
Maps K.Top.44.44.,MAPSKTOP     44      44 ,2,A Plan of the South Prospect of Richmond ... by R. Harma...,,1724,0,,RM1,Probably out of Copyright,Standard Access,Maps,,,3
Maps 27315.(24.),MAPS  27315 (     24 ),3,"Situationsplan der ko_nigl. Hauptstadt Prag, mit Bezeich...",,1868,0,,RM1,Probably out of Copyright,Standard Access,Maps,6W169831P,,3
MAPS * 23805.(8.),MAPS*  23805 (      8 ),2,"Nova Urbis Romae Descriptio ... [By] Stephanus du Perac, et",,1577,0,-,RM1,Probably out of Copyright,Standard Access,Maps,11W47671P,Unknown,3
Maps 7.TAB.77.,MAPS      7 TAB     77 ,2,Special-Karte von den VII Provinzen der Vereinigten Nied...,"Uz, Georg,",1787,0,,RM1,Probably out of Copyright,Standard Access,Maps,,Partial,3
Maps K.Top.13.9.,MAPSKTOP     13       9 ,2,"A colored plan of the lands called the King's Forest, or th",,1793,0,,RM1,Probably out of Copyright,Standard Access,Maps,,,3
Maps * 51650.(1.),MAPS*  51650 (      1 ),2,Verschiedene Prospecte der vornemsten Sta_dten in Persien.,,1720,0,,RM1,Probably out of Copyright,Standard Access,Maps,,,3
Maps 7.Tab.17.,MAPS      7 TAB     17 ,3,Five plans and elevations of the Royal Palace in Hanover...,,1763,0,,RM1,Probably out of Copyright,Standard Access,Maps,,Partial,3
Maps 147.e.18.,MAPS    147 E     18 ,2,Chart [comprehending the Coasts of India and Ceylon with th,,1809,0,-,RM1,Probably out of Copyright,Standard Access,Maps,09W11486P,,3
Maps 7.Tab.16.,MAPS      7 TAB     16 ,3,"A series of colored plans, elevations and sections of th...",,1776,0,,RM1,Probably out of Copyright,Standard Access,Maps,,Unknown,3
Maps 35795.(38.),MAPS  35795 (     38 ),2,Karta Rossii i plemena ee naseliaiushchiia. (Karta Evrop...,,1869,0,   ,RM1,Probably out of Copyright,Standard Access,Maps,7W272312P,,3
Maps 35795.(38.),MAPS  35795 (     38 ),2,Karta Rossii i plemena ee naseliaiushchiia. (Karta Evrop...,,1869,0,   ,RM1,Probably out of Copyright,Standard Access,Maps,,,3
Maps 147.e.18.,MAPS    147 E     18 ,2,Chart [comprehending the Coasts of India and Ceylon with th,,1809,0,-,RM1,Probably out of Copyright,Standard Access,Maps,10W14419P,,3
Maps K.Top.11.80.a.,MAPSKTOP     11      80 A,2,An accurate survey and measurement of Plymouth and Dock tow,,1784,0,-,RM1,Probably out of Copyright,Standard Access,Maps,12W66357P,,3
Maps 7.TAB.72.,MAPS      7 TAB     72 ,2,ATLAS DES ROIAUMES DE GALICIE ET DE DE LODOMERIE consist...,"Maire, F. J.,",1790,0,,RM1,Probably out of Copyright,Standard Access,Maps,,,3
Maps 7.TAB.77.,MAPS      7 TAB     77 ,2,Special-Karte von den VII Provinzen der Vereinigten Nied...,"Uz, Georg,",1787,0,,RM1,Probably out of Copyright,Standard Access,Maps,,Unknown,3
Maps 80710.(5.),MAPS  80710 (      5 ),2,A New Mapp of the Island of Jamaica ... According to a l...,,1685,0,,RM1,Probably out of Copyright,Standard Access,Maps,,,3
Maps O.S.T.(24.),MAPSOST(     24 ),2,[Ordnance Plan of the City of Canterbury] Scale 1 : 500 or,,1874,0,-,RM1,Probably out of Copyright,Standard Access,Maps,12W62402P,Partial,3
Maps 17.c.21.,MAPS     17 C     21 ,2,"Die Weichsel-Sta?dte in photographischer Darstellung, vo...",,1869,0,   ,RM1,Probably out of Copyright,Standard Access,Maps,6W233922P,,3
Maps 3110.(13.),MAPS   3110 (     13 ),2,"Plan of the Town of Margate, from an actual survey made ...",,1821,0,   ,RM1,Probably out of Copyright,Standard Access,Maps,,,3
Maps 17.c.21.,MAPS     17 C     21 ,2,"Die Weichsel-Sta?dte in photographischer Darstellung, vo...",,1869,0,   ,RM1,Probably out of Copyright,Standard Access,Maps,,,3
Maps 146.e.6.,MAPS    146 E      6 ,2,"Atlas of South India, in eighteen sheets, from Cape Comorin",,1822,0,-,RM1,Probably out of Copyright,Standard Access,Maps,11W29558P,Partial,3
Maps 146.e.6.,MAPS    146 E      6 ,2,"Atlas of South India, in eighteen sheets, from Cape Comorin",,1822,0,-,RM1,Probably out of Copyright,Standard Access,Maps,12W54329P,Partial,3
Maps 3110.(13.),MAPS   3110 (     13 ),2,"Plan of the Town of Margate, from an actual survey made ...",,1821,0,   ,RM1,Probably out of Copyright,Standard Access,Maps,7W258021P,,3
Maps 10.c.43.,MAPS     10 C     43 ,2,Plan of the Town and County of Newcastle upon Tyne and t...,,1831,0,,RM1,Probably out of Copyright,Standard Access,Maps,15R00817S,,3
Maps * 23495.(2.),MAPS*  23495 (      2 ),2,Hanc longe_ pretiosissimae Liburnicae delineationem ... of,,1710,0,-,RM1,Probably out of Copyright,Standard Access,Maps,09W09529P,Partial,3
Maps 3425.(1.),MAPS   3425 (      1 ),2,Plan of the Borough of Stamford and St. Martin's Stamford B,,1834,0,-,RM1,Probably out of Copyright,Standard Access,Maps,12W66445P,,3
Maps * 4900.(6.),MAPS*   4900 (      6 ),2,Actual Survey of the County of Salop. By J. Rocque. Cart...,,1752,0,,RM1,Probably out of Copyright,Standard Access,Maps,,Partial,3
