Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
Hirsch III.1099.,HirschIII   1099 ,4,"Liber Selectarum Cantionum quas uulgo Mutetas appellant, se","Senfl, Ludwig, ca. 1486-1542 or 3.",1520,0,-,RC1,Probably out of Copyright,Standard Access,Music,10W14970P,,4
H.2245.(2.),H   2245 (      2 ),4,Porpora's elements of singing ... Edited by M. Harris.,"Porpora, Nicoli? Antonio, 1686-1768.",1858,0,,RC1,Probably out of Copyright,Standard Access,Music,08W05428P,Partial,4
H.2245.(2.),H   2245 (      2 ),4,Porpora's elements of singing ... Edited by M. Harris.,"Porpora, Nicola,",1858,0,,RC1,Probably out of Copyright,Standard Access,Music,6W202405P,Partial,4
H.2245.(2.),H   2245 (      2 ),4,Porpora's elements of singing ... Edited by M. Harris.,"Porpora, Nicola,",1858,0,,RC1,Probably out of Copyright,Standard Access,Music,6W202405P,Unknown,4
H.2245.(2.),H   2245 (      2 ),4,Porpora's elements of singing ... Edited by M. Harris.,"Porpora, Nicoli? Antonio, 1686-1768.",1858,0,,RC1,Probably out of Copyright,Standard Access,Music,08W01409P,Partial,4
H.2245.(2.),H   2245 (      2 ),4,Porpora's elements of singing ... Edited by M. Harris.,"Porpora, Nicoli? Antonio, 1686-1768.",1858,0,,RC1,Probably out of Copyright,Standard Access,Music,08W01409P,Unknown,4
H.2245.(2.),H   2245 (      2 ),4,Porpora's elements of singing ... Edited by M. Harris.,"Porpora, Nicola,",1858,0,,RC1,Probably out of Copyright,Standard Access,Music,6W194004P,Full,4
H.2245.(2.),H   2245 (      2 ),4,Porpora's elements of singing ... Edited by M. Harris.,"Porpora, Nicoli? Antonio, 1686-1768.",1858,0,,RC1,Probably out of Copyright,Standard Access,Music,08W05428P,Full,4
H.2245.(2.),H   2245 (      2 ),4,Porpora's elements of singing ... Edited by M. Harris.,"Porpora, Nicoli? Antonio, 1686-1768.",1858,0,,RC1,Probably out of Copyright,Standard Access,Music,08W05428P,Unknown,4
Hirsch III.128.,HirschIII    128 ,4,"Sei divertimenti per due violini, alto e violoncello ... Op","Boccherini, Luigi, 1743-1805.",1795,0,-,RC1,Probably out of Copyright,Standard Access,Music,10W20622P,,4
g.422.a.(7.),g    422 a(      7 ),4,Chamber Air's for a Violin - and Through Bass. - Consist...,"Jones, Richard, -1744.",1735,0,,RC1,Probably out of Copyright,Standard Access,Music,,,4
g.422.a.(7.),g    422 a(      7 ),4,Chamber Air's for a Violin - and Through Bass. - Consist...,"Jones, Richard,",1735,0,,RC1,Probably out of Copyright,Standard Access,Music,5W164822P,,4
g.422.a.(7.),g    422 a(      7 ),4,Chamber Air's for a Violin - and Through Bass. - Consist...,"Jones, Richard,",1735,0,,RC1,Probably out of Copyright,Standard Access,Music,6W170532P,,4
g.422.a.(7.),g    422 a(      7 ),4,Chamber Air's for a Violin - and Through Bass. - Consist...,"Jones, Richard,",1735,0,,RC1,Probably out of Copyright,Standard Access,Music,6W183561P,,4
H.2245.(2.),H   2245 (      2 ),4,Porpora's elements of singing ... Edited by M. Harris.,"Porpora, Nicola,",1858,0,,RC1,Probably out of Copyright,Standard Access,Music,6W194004P,Partial,4
H.2245.(2.),H   2245 (      2 ),4,Porpora's elements of singing ... Edited by M. Harris.,"Porpora, Nicoli? Antonio, 1686-1768.",1858,0,,RC1,Probably out of Copyright,Standard Access,Music,08W01409P,Full,4
H.2245.(2.),H   2245 (      2 ),4,Porpora's elements of singing ... Edited by M. Harris.,"Porpora, Nicola,",1858,0,,RC1,Probably out of Copyright,Standard Access,Music,6W194004P,Unknown,4
H.2245.(2.),H   2245 (      2 ),4,Porpora's elements of singing ... Edited by M. Harris.,"Porpora, Nicola,",1858,0,,RC1,Probably out of Copyright,Standard Access,Music,6W202405P,Full,4
h.2050.r.(1.),h   2050 r(      1 ),4,"A First<second, third>Set of twenty four favorite Melodi...","Lithander, C. L.",1825,0,   ,RC1,Probably out of Copyright,Standard Access,Music,7W264198P,,4
Hirsch III.1099.,HirschIII   1099 ,4,"Liber Selectarum Cantionum quas uulgo Mutetas appellant, se","Senfl, Ludwig, ca. 1486-1542 or 3.",1520,0,-,RC1,Probably out of Copyright,Standard Access,Music,12W55759P,,4
h.2050.r.(1.),h   2050 r(      1 ),4,"A First<second, third>Set of twenty four favorite Melodi...","Lithander, C. L.",1825,0,   ,RC1,Probably out of Copyright,Standard Access,Music,,,4
Hirsch III.1099.,HirschIII   1099 ,4,"Liber Selectarum Cantionum quas uulgo Mutetas appellant, se","Senfl, Ludwig, ca. 1486-1542 or 3.",1520,0,-,RC1,Probably out of Copyright,Standard Access,Music,,,4
