Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
X.439/13228,X    439 /  13228 ,13,Waiting for the Beatles :,"Bedford, Carol.",1984,0,   ,GEN,Probably in Copyright,Standard Access,Printed Books,,,6
X.439/13228,X    439 /  13228 ,8,Waiting for the Beatles :,"Bedford, Carol.",1984,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,4
11429.k.7.,  11429 K      7 ,4,"La Chitarra ... Canzoniere amoroso, etc. [With a portrait.]","COSTA, Margherita.",1638,1638,,GEN,Probably out of Copyright,Standard Access,Printed Books,11W47884P,Partial,4
11429.k.7.,  11429 K      7 ,4,"La Chitarra ... Canzoniere amoroso, etc. [With a portrait.]","COSTA, Margherita.",1638,1638,,GEN,Probably out of Copyright,Standard Access,Printed Books,12W70039P,Partial,4
11429.k.7.,  11429 K      7 ,4,"La Chitarra ... Canzoniere amoroso, etc. [With a portrait.]","COSTA, Margherita.",1638,1638,,GEN,Probably out of Copyright,Standard Access,Printed Books,12W47884P,Partial,4
11450.dd.8.,  11450 DD      8 ,4,[A volume containing 78 collections of Villancicos to be su,,1648,1648,,GEN,Probably out of Copyright,Standard Access,Printed Books,12W70254P,Partial,4
11450.dd.8.,  11450 DD      8 ,4,[A volume containing 78 collections of Villancicos to be su,,1648,1648,,GEN,Probably out of Copyright,Standard Access,Printed Books,09W09828P,Partial,4
11450.dd.8.,  11450 DD      8 ,4,[A volume containing 78 collections of Villancicos to be su,,1648,1648,,GEN,Probably out of Copyright,Standard Access,Printed Books,10W15800P,Partial,4
11450.dd.8.,  11450 DD      8 ,4,[A volume containing 78 collections of Villancicos to be su,,1648,1648,,GEN,Probably out of Copyright,Standard Access,Printed Books,09W10772P,Partial,4
P.P.7611.,PP   7611 ,2,The illustrated London news.,,1842,1858,   ,SER,Probably out of Copyright,Standard Access,Printed Books,,Unknown,3
8176.e.8.(2.),   8176 E      8 (      2 ),2,"Things as they are; or, America in 1819. By an Emigrant,...",United States.,1819,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,,,3
4805.i.14.,   4805 I     14 ,2,[Tboeck van den leuen ons heeren ihesu christi. [With numer,,1512,1512,,GEN,Probably out of Copyright,Standard Access,Printed Books,12W60912P,Unknown,3
P.P.7611.,PP   7611 ,2,The illustrated London news.,,1842,1858,   ,SER,Probably out of Copyright,Standard Access,Printed Books,,Partial,3
8007.a.26.,   8007 A     26 ,2,The Emigrant Voyager's Manual.,"Kingston, William Henry Giles,",1850,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,,,3
P.P.7611.,PP   7611 ,2,The Illustrated London news,,1842,1888,,SER,Probably out of Copyright,Standard Access,Printed Books,09W07067P,Unknown,3
P.P.7611.,PP   7611 ,3,The illustrated London news.,,1842,1848,,SER,Probably out of Copyright,Standard Access,Printed Books,,Partial,3
4828.aaa.42.,   4828 AAA     42 ,2,Vita beate uirginis Rose.,,1505,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,,Full,3
P.P.7611.,PP   7611 ,3,The illustrated London news.,,1842,1845,,SER,Probably out of Copyright,Standard Access,Printed Books,5W167456P,Unknown,3
P.P.7611.,PP   7611 ,2,The Illustrated London news,,1842,1888,,SER,Probably out of Copyright,Standard Access,Printed Books,09W07067P,Partial,3
12901.bb.39.,  12901 BB     39 ,3,A Harmonical Grammar of the principal ancient and modern La,"Nolan, Frederick, 1784-1864.",1822,1822,,GEN,Probably out of Copyright,Standard Access,Printed Books,10W22133P,Full,3
J/3036.g.11,J/   3036 G     11 ,2,The Holy Bible.,,1684,1684,,GEN,Probably out of Copyright,Standard Access,Printed Books,12W59280P,,3
4805.i.14.,   4805 I     14 ,2,[Tboeck van den leuen ons heeren ihesu christi. [With numer,,1512,1512,,GEN,Probably out of Copyright,Standard Access,Printed Books,12W60912P,Partial,3
4827.a.40.,   4827 A     40 ,2,"Nikolaus von Damaskus. Sein Leben und seine Schriften, nebs",,1853,1853,,GEN,Probably out of Copyright,Standard Access,Printed Books,09W11065P,Full,3
4827.a.40.,   4827 A     40 ,2,"Nikolaus von Damaskus. Sein Leben und seine Schriften, nebs",,1853,1853,,GEN,Probably out of Copyright,Standard Access,Printed Books,09W11132P,Full,3
J/4705.h.4,J/   4705 H      4 ,2,"[Actes and monuments of these latter and perillous dayes, t","Foxe, John, 1516-1587",1570,1570,2,GEN,Probably out of Copyright,Standard Access,Printed Books,11W28730P,,3
4784.bbb.18.,   4784 BBB     18 ,2,Ein fast grosse Lobliche Bruderschafft: reicher unnd armer.,"Confraternity of Saint Ursula's Ship (URSULA, Sain",1525,1525,,GEN,Probably out of Copyright,Standard Access,Printed Books,09W07430P,,3
12901.bb.39.,  12901 BB     39 ,3,A Harmonical Grammar of the principal ancient and modern La,"NOLAN, Frederick, Reverend.",1822,1822,,GEN,Probably out of Copyright,Standard Access,Printed Books,08W04532P,Partial,3
J/4705.h.4,J/   4705 H      4 ,2,"[Actes and monuments of these latter and perillous dayes, t","Foxe, John, 1516-1587",1570,1570,2,GEN,Probably out of Copyright,Standard Access,Printed Books,,,3
4783.a.35.,   4783 A     35 ,2,Que_ es la Franc-Masoneria? Que_ debe ser?.,"VICTORY Y SUAREZ, Bartolome_.",1867,1867,,GEN,Probably out of Copyright,Standard Access,Printed Books,,Full,3
4783.a.35.,   4783 A     35 ,2,Que_ es la Franc-Masoneria? Que_ debe ser?.,"VICTORY Y SUAREZ, Bartolome_.",1867,1867,,GEN,Probably out of Copyright,Standard Access,Printed Books,09W09458P,Full,3
4805.i.14.,   4805 I     14 ,2,[Tboeck van den leuen ons heeren ihesu christi. [With numer,,1512,1512,,GEN,Probably out of Copyright,Standard Access,Printed Books,11W47729P,Partial,3
4805.i.14.,   4805 I     14 ,2,[Tboeck van den leuen ons heeren ihesu christi. [With numer,,1512,1512,,GEN,Probably out of Copyright,Standard Access,Printed Books,11W47729P,Unknown,3
P.P.7611.,PP   7611 ,3,The illustrated London news.,,1842,1845,,SER,Probably out of Copyright,Standard Access,Printed Books,5W167456P,Partial,3
4906.bb.5.,   4906 BB      5 ,3,"Memoir of Eliza Smith, who was transported for shoplifting,","SMITH, Eliza, Mrs., Shoplifter.",1839,1839,,GEN,Probably out of Copyright,Standard Access,Printed Books,09W10639P,Full,3
Ac.2401/4.(1.),AC   2401 /      4 (      1 ),2,"[London, 1860.] Programme of the Fourth Session of the Inte",,1860,1860,,SER,Probably out of Copyright,Standard Access,Printed Books,09W08534P,Full,3
ZC.9.d.558,ZC      9 D    558 ,2,The spectator.,,1828,1899,,SER,Probably out of Copyright,Standard Access,Printed Books,10W25796P,Unknown,3
ZC.9.d.558,ZC      9 D    558 ,2,The spectator.,,1828,1899,,SER,Probably out of Copyright,Standard Access,Printed Books,10W25796P,Partial,3
4906.bb.5.,   4906 BB      5 ,3,"Memoir of Eliza Smith, who was transported for shoplifting,","SMITH, Eliza, Mrs., Shoplifter.",1839,1839,,GEN,Probably out of Copyright,Standard Access,Printed Books,09W11959P,Full,3
P.P.7611.,PP   7611 ,2,The illustrated London news.,,1842,1858,   ,SER,Probably out of Copyright,Standard Access,Printed Books,7W263455P,Partial,3
ZC.9.d.558,ZC      9 D    558 ,2,The spectator.,,1828,1899,,SER,Probably out of Copyright,Standard Access,Printed Books,,Partial,3
ZC.9.d.558,ZC      9 D    558 ,2,The spectator.,,1828,1899,,SER,Probably out of Copyright,Standard Access,Printed Books,,Unknown,3
P.P.7611.,PP   7611 ,2,The illustrated London news.,,1842,1858,   ,SER,Probably out of Copyright,Standard Access,Printed Books,7W263455P,Unknown,3
4906.bb.5.,   4906 BB      5 ,3,"Memoir of Eliza Smith, who was transported for shoplifting,","SMITH, Eliza, Mrs., Shoplifter.",1839,1839,,GEN,Probably out of Copyright,Standard Access,Printed Books,08W06829P,Full,3
4855.dd.3.,   4855 DD      3 ,2,Invicti Quinarii Numeri series quæ summatim a superioribus,"PINADELLUS, Joannes.",1589,1589,,GEN,Probably out of Copyright,Standard Access,Printed Books,09W07284P,Partial,3
11725.b.6.,  11725 B      6 ,3,La Vanda y la Flor.-El Principe Constante.,"Calderón de la Barca, Pedro, 1600-1681.",1649,1649,,GEN,Probably out of Copyright,Standard Access,Printed Books,09W07608P,Partial,3
10096.f.13.,  10096 F     13 ,2,The Lake Regions of Central Africa. A picture of exploratio,"Burton, Richard Francis, Sir, 1821-1890.",1860,1860,1,GEN,Probably out of Copyright,Standard Access,Printed Books,12M02902P,,3
11725.b.6.,  11725 B      6 ,3,La Vanda y la Flor.-El Principe Constante.,"Calder?n de la Barca, Pedro, 1600-1681.",1649,1649,,GEN,Probably out of Copyright,Standard Access,Printed Books,08W06120P,Partial,3
4855.dd.3.,   4855 DD      3 ,2,Invicti Quinarii Numeri series quæ summatim a superioribus,"PINADELLUS, Joannes.",1589,1589,,GEN,Probably out of Copyright,Standard Access,Printed Books,09W07284P,Unknown,3
P.P.7611.,PP   7611 ,2,The Illustrated London news,,1842,1888,,SER,Probably out of Copyright,Standard Access,Printed Books,09W07067P,Full,3
12901.bb.39.,  12901 BB     39 ,3,A Harmonical Grammar of the principal ancient and modern La,"Nolan, Frederick, 1784-1864.",1822,1822,,GEN,Probably out of Copyright,Standard Access,Printed Books,10W22133P,Partial,3
8156.aa.29.,   8156 AA     29 ,2,"An Address to the People of Great Britain, on the propri...",England.,1791,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,,,3
8156.aa.29.,   8156 AA     29 ,2,"An Address to the People of Great Britain, on the propri...",England.,1791,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,6W214120P,,3
P.P.7611.,PP   7611 ,2,The illustrated London news.,,1842,1858,   ,SER,Probably out of Copyright,Standard Access,Printed Books,,Full,3
7610.b.45.,   7610 B     45 ,2,Deafness and Diseases of the Ear. The fallacies of prese...,"WRIGHT, William, Surgeon Aurist to Queen Charlo...",1860,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,,Full,3
8805.d.31.,   8805 D     31 ,2,The Charterer's Companion; being a sure guide to merchan...,"GORDON, James,",1852,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,,,3
P.P.7611.,PP   7611 ,2,The Illustrated London news,,1842,1888,,SER,Probably out of Copyright,Standard Access,Printed Books,08W02137P,Partial,3
8180.dd.18.,   8180 DD     18 ,2,El Estado Zulia. Falcon y Sutherland.,"FALCO_N, Juan Criso_stomo, President of the Rep...",1866,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,,Partial,3
8180.f.54.,   8180 F     54 ,2,Constitucion del Estado Soberano del Z. [A satire on Gen...,,1865,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,,Partial,3
P.P.7611.,PP   7611 ,2,The Illustrated London news,,1842,1888,,SER,Probably out of Copyright,Standard Access,Printed Books,08W02137P,Unknown,3
P.P.7611.,PP   7611 ,2,The Illustrated London news,,1842,1888,,SER,Probably out of Copyright,Standard Access,Printed Books,08W02137P,Full,3
P.P.7611.,PP   7611 ,3,The illustrated London news.,,1842,1845,,SER,Probably out of Copyright,Standard Access,Printed Books,6W170459P,Unknown,3
J/4824.k.3,J/   4824 K      3 ,2,"[Actes and monuments of these latter and perillous dayes, t","Foxe, John, 1516-1587",1583,1583,,GEN,Probably out of Copyright,Standard Access,Printed Books,13W71691P,,3
J/4824.k.3,J/   4824 K      3 ,2,[Actes and monuments of these latter and perillous dayes...,"Foxe, John, 1516-1587",1583,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,,,3
P.P.7611.,PP   7611 ,3,The illustrated London news.,,1842,1845,,SER,Probably out of Copyright,Standard Access,Printed Books,6W170459P,Partial,3
11649.cc.35.,  11649 CC     35 ,2,"Specimens of English Verse, selected chiefly from modern po","EUSDEN, Robert Francis.",1826,1826,,GEN,Probably out of Copyright,Standard Access,Printed Books,12W61702P,Full,3
10349.gg.2.,  10349 GG      2 ,2,London (illustrated). A complete guide to the leading ho...,,1872,1873,,GEN,Probably out of Copyright,Standard Access,Printed Books,,,3
10349.h.13.,  10349 H     13 ,2,Modern London; being the history and present state of th...,London.,1804,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,,,3
P.P.7611.,PP   7611 ,3,The illustrated London news.,,1842,1845,,SER,Probably out of Copyright,Standard Access,Printed Books,6W170459P,Full,3
8180.a.49.,   8180 A     49 ,2,Constitucio_n del estado de Cojedes.,,1864,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,,Partial,3
YD.2012.a.3169,YD   2012 A   3169 ,6,Hong Kong 2010 / [editorial: Information Services Department,Hong Kong (China). Information Service 00021228634,2010,0,,SER,Probably in Copyright,Standard Access,Printed Books,,,3
YD.2012.a.3169,YD   2012 A   3169 ,6,Hong Kong 2010 / [editorial: Information Services Department,Hong Kong (China). Information Service 00021217657,2010,0,,SER,Probably in Copyright,Standard Access,Printed Books,,,3
4707.c.23.(2.),   4707 C     23 (      2 ),2,The Architectural history of Canterbury Cathedral.,"Willis, Robert, 1800-1875.",1845,1845,,GEN,Probably out of Copyright,Standard Access,Printed Books,,,3
YD.2012.a.3169,YD   2012 A   3169 ,6,Hong Kong 2010 / [editorial: Information Services Department,Hong Kong (China). Information Service 00021220918,2010,0,,SER,Probably in Copyright,Standard Access,Printed Books,,,3
8179.b.65.(4.),   8179 B     65 (      4 ),2,"Coleccion de documentos sobre imigracion de estranjeros, im",,1847,1847,,GEN,Probably out of Copyright,Standard Access,Printed Books,10W19992P,,3
J/4824.k.3,J/   4824 K      3 ,2,"[Actes and monuments of these latter and perillous dayes, t","Foxe, John, 1516-1587",1583,1583,,GEN,Probably out of Copyright,Standard Access,Printed Books,07W12590P,,3
YD.2012.a.3169,YD   2012 A   3169 ,6,Hong Kong 2010 / [editorial: Information Services Department,Hong Kong (China). Information Service 00021234649,2010,0,,SER,Probably in Copyright,Standard Access,Printed Books,,,3
YD.2012.a.3169,YD   2012 A   3169 ,6,Hong Kong 2010 / [editorial: Information Services Department,Hong Kong (China). Information Service 00021224380,2010,0,,SER,Probably in Copyright,Standard Access,Printed Books,,,3
YD.2012.a.3169,YD   2012 A   3169 ,6,Hong Kong 2010 / [editorial: Information Services Department,Hong Kong (China). Information Service 00021221516,2010,0,,SER,Probably in Copyright,Standard Access,Printed Books,,,3
8805.g.2.,   8805 G      2 ,2,"Navegacion especulativa y pra_ctica, etc. [With plates.]","GONZALEZ CABRERA BUENO, Joseph.",1734,0,,GEN,Probably out of Copyright,Standard Access,Printed Books,,,3
P.P.7611.,PP   7611 ,3,The illustrated London news.,,1842,1845,,SER,Probably out of Copyright,Standard Access,Printed Books,5W167456P,Full,3
