Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
C.21.c.44.,C     21 C     44 ,2,Shake-speares Sonnets. Neuer before Imprinted. (A Louers Co,"Shakespeare, William, 1564-1616.",1609,0,,RRZ,Probably out of Copyright,Highly Restricted,Rare Books,,Unknown,6
C.21.c.44.,C     21 C     44 ,2,Shake-speares Sonnets. Neuer before Imprinted. (A Louers Co,"Shakespeare, William, 1564-1616.",1609,0,,RRZ,Probably out of Copyright,Highly Restricted,Rare Books,,Partial,6
C.23.e.4.,C     23 E      4 ,2,The Actions&Doctrine&other Passages touching our Lord&Sa...,,1635,0,,RRX,Probably out of Copyright,Restricted,Rare Books,,Partial,5
C.23.e.4.,C     23 E      4 ,2,The Actions&Doctrine&other Passages touching our Lord&Sa...,,1635,0,,RRX,Probably out of Copyright,Restricted,Rare Books,,Full,5
C.23.e.4.,C     23 E      4 ,2,The Actions&Doctrine&other Passages touching our Lord&Sa...,,1635,0,,RRX,Probably out of Copyright,Restricted,Rare Books,,Unknown,5
G.11180.,G  11180 ,1,Venus and Adonis. Vilia miretur vulgus: mihi flauus Apol...,"Shakespeare, William,",1594,0,,RRZ,Probably out of Copyright,Highly Restricted,Rare Books,,,5
C.11.b.9.,C     11 B      9 ,2,Begin. [sig. A ii.: B]eatus qui custodit verba _phi_e li,,1481,0,,RRX,Probably out of Copyright,Restricted,Rare Books,,,5
C.40.m.9.(3.),C     40 M      9 (      3 ),2,"Catch that catch can: or, a choice collection of catches, r","Hilton, John, 1599-1657.",1652,0,,RRX,Probably out of Copyright,Restricted,Rare Books,,,5
C.39.k.9.,C     39 K      9 ,2,[The Workes of Beniamin Jonson. [vol. 1.] L.P.],"Jonson, Ben, 1573?-1637.",1616,1616,,RRX,Probably out of Copyright,Restricted,Rare Books,09W08589P,Unknown,5
C.39.k.9.,C     39 K      9 ,2,[The Workes of Beniamin Jonson. [vol. 1.] L.P.],"Jonson, Ben, 1573?-1637.",1616,1616,,RRX,Probably out of Copyright,Restricted,Rare Books,09W07772P,Unknown,5
74/L.R.301.h.3-11.,     74 /LR    301 H      3 -     11 ,2,"[A collection of broadsides, cuttings from newspapers, engr",,1780,1780,,RRX,Probably out of Copyright,Restricted,Rare Books,,,5
IB.55497.,IB  55497 ,2,Begin. [fol. 2 recto: Here begynnethe the boke calledde Ioh,"Boccaccio, Giovanni, 1313-1375",1494,0,,RRX,Probably out of Copyright,Restricted,Rare Books,,Partial,5
C.34.k.17.,C     34 K     17 ,1,M. William Shakespeare: his True Chronicle Historie of the,"Shakespeare, William, 1564-1616",1608,0,,RRZ,Probably out of Copyright,Highly Restricted,Rare Books,,Unknown,5
C.34.k.22.,C     34 K     22 ,1,The most excellent Historie of the Merchant of Venice. With,"Shakespeare, William, 1564-1616.",1600,0,,RRZ,Probably out of Copyright,Highly Restricted,Rare Books,,Partial,5
C.34.k.33.,C     34 K     33 ,1,"The Tragœdy of Othello, the Moore of Venice. As it hath be","Shakespeare, William, 1564-1616",1622,0,,RRZ,Probably out of Copyright,Highly Restricted,Rare Books,,Partial,5
C.39.i.13.,C     39 I     13 ,1,"Mr William Shakespeares Comedies, Histories, and Tragedies,","Shakespeare, William, 1564-1616",1632,0,,RRZ,Probably out of Copyright,Highly Restricted,Rare Books,,Full,5
C.34.k.17.,C     34 K     17 ,1,M. William Shakespeare: his True Chronicle Historie of the,"Shakespeare, William, 1564-1616",1608,0,,RRZ,Probably out of Copyright,Highly Restricted,Rare Books,,Partial,5
C.34.k.22.,C     34 K     22 ,1,The most excellent Historie of the Merchant of Venice. With,"Shakespeare, William, 1564-1616.",1600,0,,RRZ,Probably out of Copyright,Highly Restricted,Rare Books,,Unknown,5
C.21.c.45.,C     21 C     45 ,1,Lucrece.,"Shakespeare, William, 1564-1616",1594,0,,RRZ,Probably out of Copyright,Highly Restricted,Rare Books,,,5
C.21.a.37.,C     21 A     37 ,1,Venus and Adonis. Vilia miretur vulgus: mihi flauus Apol...,"Shakespeare, William,",1596,0,,RRZ,Probably out of Copyright,Highly Restricted,Rare Books,,,5
