Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
cotton ms nero D vii,COTTONMSNERODVII,12,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,MSP,Unknown,,,,Partial,6
810.i.2.,    810 I      2 ,6,"De gli habiti antichi, et moderni et diverse parti del m...","VECELLIO, Cesare.",1590,0,,EAR,Probably out of Copyright,,,,Partial,5
810.i.2.,    810 I      2 ,6,"De gli habiti antichi, et moderni et diverse parti del m...","VECELLIO, Cesare.",1590,0,,EAR,Probably out of Copyright,,,5W137316P,Partial,5
810.i.2.,    810 I      2 ,6,"De gli habiti antichi, et moderni et diverse parti del mond","VECELLIO, Cesare.",1590,1590,,EAR,Probably out of Copyright,,,11W34687P,Partial,5
810.i.2.,    810 I      2 ,6,"De gli habiti antichi, et moderni et diverse parti del m...","VECELLIO, Cesare.",1590,0,,EAR,Probably out of Copyright,,,4W111275P,Partial,5
810.i.2.,    810 I      2 ,6,"De gli habiti antichi, et moderni et diverse parti del m...","VECELLIO, Cesare.",1590,0,,EAR,Probably out of Copyright,,,6W181743P,Partial,5
810.i.2.,    810 I      2 ,6,"De gli habiti antichi, et moderni et diverse parti del m...","VECELLIO, Cesare.",1590,0,,EAR,Probably out of Copyright,,,6W179924P,Partial,5
810.i.2.,    810 I      2 ,6,"De gli habiti antichi, et moderni et diverse parti del mond","VECELLIO, Cesare.",1590,1590,,EAR,Probably out of Copyright,,,10W16816P,Partial,5
810.i.2.,    810 I      2 ,6,"De gli habiti antichi, et moderni et diverse parti del mond","VECELLIO, Cesare.",1590,1590,,EAR,Probably out of Copyright,,,10W22585P,Partial,5
810.i.2.,    810 I      2 ,6,"De gli habiti antichi, et moderni et diverse parti del mond","VECELLIO, Cesare.",1590,1590,,EAR,Probably out of Copyright,,,08W03755P,Partial,5
810.i.2.,    810 I      2 ,6,"De gli habiti antichi, et moderni et diverse parti del mond","VECELLIO, Cesare.",1590,1590,,EAR,Probably out of Copyright,,,07P25329P,Partial,5
810.i.2.,    810 I      2 ,6,"De gli habiti antichi, et moderni et diverse parti del mond","VECELLIO, Cesare.",1590,1590,,EAR,Probably out of Copyright,,,09W10182P,Partial,5
HS85/10,HS     85 /     10 ,8,[A collection of Canadian photographs received by the Briti,,1895,1895,,RR2,Possibly out of Copyright,,,,,5
1068.g.4.,   1068 G      4 ,5,"Metamorphoses Ovidii, argumentis quidem soluta oratione,...","Ovid,",1563,0,,EAR,Probably out of Copyright,,,5W137934P,Partial,4
1068.g.4.,   1068 G      4 ,5,"Metamorphoses Ovidii, argumentis quidem soluta oratione,...","Ovid, 43 B.C.-17 A.D. or 18 A.D.",1563,0,,EAR,Probably out of Copyright,,,,Unknown,4
1068.g.4.,   1068 G      4 ,5,"Metamorphoses Ovidii, argumentis quidem soluta oratione,...","Ovid, 43 B.C.-17 A.D. or 18 A.D.",1563,0,,EAR,Probably out of Copyright,,,,Partial,4
NEWS78,NEWS     78 ,4,The News of the world.,,1843,0,,NEW,Probably out of Copyright,,,16W176458P,Partial,4
Maps K.Top.13.66.1.,MAPSKTOP     13      66       1 ,4,TOWN OF CHELTENHAM /,"Mitchell, Edward,",1810,0,   ,RM2,Probably out of Copyright,,,,,4
1068.g.4.,   1068 G      4 ,5,"Metamorphoses Ovidii, argumentis quidem soluta oratione,...","Ovid,",1563,0,,EAR,Probably out of Copyright,,,5W137934P,Unknown,4
1486.gg.11.,   1486 GG     11 ,4,"A picturesque Tour in the Island of Jamaica, from drawings","HAKEWILL, James.",1825,1825,,EAR,Probably out of Copyright,,,08W03503P,Partial,4
NEWS78,NEWS     78 ,4,The News of the world.,,1843,0,,NEW,Probably out of Copyright,,,,Partial,4
Maps K.Top.13.66.1.,MAPSKTOP     13      66       1 ,4,TOWN OF CHELTENHAM /,"Mitchell, Edward,",1810,0,   ,RM2,Probably out of Copyright,,,7W240590P,,4
1068.g.4.,   1068 G      4 ,5,"Metamorphoses Ovidii, argumentis quidem soluta oratione,...","Ovid,",1563,0,,EAR,Probably out of Copyright,,,4W112050P,Partial,4
1078.m.7-9.,   1078 M      7 -      9 ,4,The History of the Grand Rebellion; containing the most ...,,1713,0,,EAR,Probably out of Copyright,,,,Unknown,4
1078.m.7-9.,   1078 M      7 -      9 ,4,The History of the Grand Rebellion; containing the most ...,,1713,0,,EAR,Probably out of Copyright,,,14P24544P,Unknown,4
1486.gg.11.,   1486 GG     11 ,4,"A picturesque Tour in the Island of Jamaica, from drawings","Hakewill, James, 1778-1843.",1825,1825,,EAR,Probably out of Copyright,,,11W35182P,Partial,4
1486.gg.11.,   1486 GG     11 ,4,"A picturesque Tour in the Island of Jamaica, from drawings","HAKEWILL, James.",1825,1825,,EAR,Probably out of Copyright,,,08W03236P,Partial,4
1486.gg.11.,   1486 GG     11 ,4,"A picturesque Tour in the Island of Jamaica, from drawings","HAKEWILL, James.",1825,1825,,EAR,Probably out of Copyright,,,08W01431P,Partial,4
1068.g.4.,   1068 G      4 ,5,"Metamorphoses Ovidii, argumentis quidem soluta oratione,...","Ovid,",1563,0,,EAR,Probably out of Copyright,,,4W112050P,Unknown,4
731.a.23.(2.),    731 A     23 (      2 ),4,A Voice from Heaven to the Youth of Great Britain. [In vers,,1720,1720,,EAR,Probably out of Copyright,,,11W38500P,Partial,4
74/1888.c.3.,     74 /   1888 C      3 ,4,[A collection of broadsides and newspaper cuttings containi,,1794,1794,,EAR,Probably out of Copyright,,,09W10307P,Partial,4
74/1888.c.3.,     74 /   1888 C      3 ,4,[A collection of broadsides and newspaper cuttings containi,,1794,1794,,EAR,Probably out of Copyright,,,10W16397P,Unknown,4
